period,period_roc,period_date,material,item_name,unit,region,region_group,region_level,price_basis,source_dataset,price,price_min,price_max,source_file
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,中區,中,region,exact,價格趨勢PDF,25400.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,北區,北,region,exact,價格趨勢PDF,25400.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,南區,南,region,exact,價格趨勢PDF,25400.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,台東,東,region,exact,價格趨勢PDF,25400.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H400×B400,t1=13mm,t2=21mm)",,花蓮,東,region,exact,價格趨勢PDF,25400.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,中區,中,region,exact,價格趨勢PDF,25500.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,北區,北,region,exact,價格趨勢PDF,25500.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,南區,南,region,exact,價格趨勢PDF,25500.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,台東,東,region,exact,價格趨勢PDF,25500.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H700×B300,t1=13mm,t2=24mm",,花蓮,東,region,exact,價格趨勢PDF,25500.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,中區,中,region,exact,價格趨勢PDF,25700.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,北區,北,region,exact,價格趨勢PDF,25700.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,南區,南,region,exact,價格趨勢PDF,25700.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,台東,東,region,exact,價格趨勢PDF,25700.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,H型鋼,"產品,結構用鋼材,熱軋型鋼,H型鋼,(H800×B300,t1=14mm,t2=26mm)",,花蓮,東,region,exact,價格趨勢PDF,25700.0,,,H型鋼價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料19.0mm,針入度85~100,拌合廠交貨",,中區,中,region,exact,價格趨勢PDF,2300.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料19.0mm,針入度85~100,拌合廠交貨",,北區,北,region,exact,價格趨勢PDF,2280.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料19.0mm,針入度85~100,拌合廠交貨",,南區,南,region,exact,價格趨勢PDF,2030.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料19.0mm,針入度85~100,拌合廠交貨",,台東,東,region,exact,價格趨勢PDF,2220.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料19.0mm,針入度85~100,拌合廠交貨",,花蓮,東,region,exact,價格趨勢PDF,2770.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料25.0mm,針入度85~100,拌合廠交貨",,中區,中,region,exact,價格趨勢PDF,2150.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料25.0mm,針入度85~100,拌合廠交貨",,北區,北,region,exact,價格趨勢PDF,2210.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料25.0mm,針入度85~100,拌合廠交貨",,南區,南,region,exact,價格趨勢PDF,1990.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料25.0mm,針入度85~100,拌合廠交貨",,台東,東,region,exact,價格趨勢PDF,2140.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,再生瀝青混凝土鋪面,(密級配,30%回收料),粗粒料25.0mm,針入度85~100,拌合廠交貨",,花蓮,東,region,exact,價格趨勢PDF,2690.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,中區,中,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,北區,北,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,南區,南,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,台東,東,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度60~70",,花蓮,東,region,exact,價格趨勢PDF,25000.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,中區,中,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,北區,北,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,南區,南,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,台東,東,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,柔性鋪面,柏油鋪面,針入度85~100",,花蓮,東,region,exact,價格趨勢PDF,24700.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,中區,中,region,exact,價格趨勢PDF,2600.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,北區,北,region,exact,價格趨勢PDF,3020.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,南區,南,region,exact,價格趨勢PDF,2420.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,台東,東,region,exact,價格趨勢PDF,2500.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第1類型,底層粗級配),粗粒料19mm,拌合廠交貨",,花蓮,東,region,exact,價格趨勢PDF,3050.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,中區,中,region,exact,價格趨勢PDF,2450.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,北區,北,region,exact,價格趨勢PDF,2910.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,南區,南,region,exact,價格趨勢PDF,2370.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,台東,東,region,exact,價格趨勢PDF,2260.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,瀝青混凝土,"產品,瀝青混凝土鋪面,(第2類型,底層粗級配),粗粒料25mm,拌合廠交貨",,花蓮,東,region,exact,價格趨勢PDF,2810.0,,,瀝青混凝土價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,中區,中,region,exact,價格趨勢PDF,530.0,,,砂石價格趨勢1030115.pdf
103-01,10301,2014-01-01,砂石,"產品,粒料、粗粒料,25~4.75mm,砂石廠交貨",,北區,北,region,exact,價格趨勢PDF,500.0,,,砂石價格趨勢1030115.pdf
