調查時間,調查項目,調查地區,價格,單位,標準差,樣本數量
11504,粗級配瀝青混凝土(粗粒料粒徑25mm),北區,3932 ,元/T,367,13
11504,粗級配瀝青混凝土(粗粒料粒徑25mm),中區,3767 ,元/T,480.9,28
11504,粗級配瀝青混凝土(粗粒料粒徑25mm),南區,3792 ,元/T,776.2,10
11504,粗級配瀝青混凝土(粗粒料粒徑25mm),花蓮,4450 ,元/T,50,4
11504,粗級配瀝青混凝土(粗粒料粒徑25mm),台東,,元/T,,
11504,粗級配瀝青混凝土(粗粒料粒徑19mm),北區,4023 ,元/T,388.7,13
11504,粗級配瀝青混凝土(粗粒料粒徑19mm),中區,3838 ,元/T,471.5,28
11504,粗級配瀝青混凝土(粗粒料粒徑19mm),南區,3551 ,元/T,816.7,14
11504,粗級配瀝青混凝土(粗粒料粒徑19mm),花蓮,4525 ,元/T,25,4
11504,粗級配瀝青混凝土(粗粒料粒徑19mm),台東,,元/T,,
11504,密級配瀝青混凝土(粗粒料粒徑25mm),北區,3861 ,元/T,586.3,14
11504,密級配瀝青混凝土(粗粒料粒徑25mm),中區,3806 ,元/T,444.7,28
11504,密級配瀝青混凝土(粗粒料粒徑25mm),南區,3867 ,元/T,857,10
11504,密級配瀝青混凝土(粗粒料粒徑25mm),花蓮,4550 ,元/T,50,4
11504,密級配瀝青混凝土(粗粒料粒徑25mm),台東,,元/T,,
11504,密級配瀝青混凝土(粗粒料粒徑19mm),北區,3960 ,元/T,618.7,14
11504,密級配瀝青混凝土(粗粒料粒徑19mm),中區,3871 ,元/T,445.9,28
11504,密級配瀝青混凝土(粗粒料粒徑19mm),南區,3527 ,元/T,949.1,14
11504,密級配瀝青混凝土(粗粒料粒徑19mm),花蓮,4613 ,元/T,89.3,4
11504,密級配瀝青混凝土(粗粒料粒徑19mm),台東,,元/T,,
