調查時間,調查項目,調查地區,價格,單位,標準差,樣本數量
11504,CLSM產品，控制性低強度回填材料，混凝土用粒料，90kgf/cm2,北區,2542 , 元/M3,471.6,6
11504,CLSM產品，控制性低強度回填材料，混凝土用粒料，90kgf/cm2,中區,2236 , 元/M3,816.2,5
11504,CLSM產品，控制性低強度回填材料，混凝土用粒料，90kgf/cm2,南區,1140 , 元/M3,654.2,5
11504,CLSM產品，控制性低強度回填材料，混凝土用粒料，90kgf/cm2,花蓮,2183 , 元/M3,381.9,3
11504,CLSM產品，控制性低強度回填材料，混凝土用粒料，90kgf/cm2,台東,1902 , 元/M3,219.5,5
11504,產品，預拌混凝土材料費，140kgf/cm2，第1型水泥，工地交貨,北區,2905 , 元/M3,284.7,10
11504,產品，預拌混凝土材料費，140kgf/cm2，第1型水泥，工地交貨,中區,2565 , 元/M3,179.3,10
11504,產品，預拌混凝土材料費，140kgf/cm2，第1型水泥，工地交貨,南區,2384 , 元/M3,131.9,10
11504,產品，預拌混凝土材料費，140kgf/cm2，第1型水泥，工地交貨,花蓮,2333 , 元/M3,209,6
11504,產品，預拌混凝土材料費，140kgf/cm2，第1型水泥，工地交貨,台東,2099 , 元/M3,184.7,5
11504,產品，預拌混凝土材料費，175kgf/cm2，第1型水泥，工地交貨,北區,2972 , 元/M3,276.2,10
11504,產品，預拌混凝土材料費，175kgf/cm2，第1型水泥，工地交貨,中區,2622 , 元/M3,180.1,10
11504,產品，預拌混凝土材料費，175kgf/cm2，第1型水泥，工地交貨,南區,2505 , 元/M3,114,10
11504,產品，預拌混凝土材料費，175kgf/cm2，第1型水泥，工地交貨,花蓮,2442 , 元/M3,222.3,6
11504,產品，預拌混凝土材料費，175kgf/cm2，第1型水泥，工地交貨,台東,2205 , 元/M3,198,5
11504,產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨,北區,3063 , 元/M3,272.1,11
11504,產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨,中區,2693 , 元/M3,183.3,11
11504,產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨,南區,2619 , 元/M3,155,11
11504,產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨,花蓮,2542 , 元/M3,222.3,6
11504,產品，預拌混凝土材料費，210kgf/cm2，第1型水泥，工地交貨,台東,2322 , 元/M3,211.9,5
11504,產品，預拌混凝土材料費，245kgf/cm2，第1型水泥，工地交貨 ,北區,3126 , 元/M3,260.5,10
11504,產品，預拌混凝土材料費，245kgf/cm2，第1型水泥，工地交貨 ,中區,2762 , 元/M3,194.9,10
11504,產品，預拌混凝土材料費，245kgf/cm2，第1型水泥，工地交貨 ,南區,2666 , 元/M3,97.9,10
11504,產品，預拌混凝土材料費，245kgf/cm2，第1型水泥，工地交貨 ,花蓮,2642 , 元/M3,222.3,6
11504,產品，預拌混凝土材料費，245kgf/cm2，第1型水泥，工地交貨 ,台東,2469 , 元/M3,214.1,5
11504,產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ,北區,3260 , 元/M3,260.4,11
11504,產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ,中區,2872 , 元/M3,206,11
11504,產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ,南區,2824 , 元/M3,129.1,10
11504,產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ,花蓮,2742 , 元/M3,222.3,6
11504,產品，預拌混凝土材料費，280kgf/cm2，第1型水泥，工地交貨 ,台東,2575 , 元/M3,226.8,5
11504,產品，預拌混凝土材料費，315kgf/cm2，第1型水泥，工地交貨 ,北區,3327 , 元/M3,249.8,10
11504,產品，預拌混凝土材料費，315kgf/cm2，第1型水泥，工地交貨 ,中區,2999 , 元/M3,128.9,8
11504,產品，預拌混凝土材料費，315kgf/cm2，第1型水泥，工地交貨 ,南區,2884 , 元/M3,96.9,8
11504,產品，預拌混凝土材料費，315kgf/cm2，第1型水泥，工地交貨 ,花蓮,2850 , 元/M3,247.5,5
11504,產品，預拌混凝土材料費，315kgf/cm2，第1型水泥，工地交貨 ,台東,2745 , 元/M3,248.1,5
11504,產品，預拌混凝土材料費，350kgf/cm2，第1型水泥，工地交貨 ,北區,3427 , 元/M3,249.8,10
11504,產品，預拌混凝土材料費，350kgf/cm2，第1型水泥，工地交貨 ,中區,3091 , 元/M3,135.4,8
11504,產品，預拌混凝土材料費，350kgf/cm2，第1型水泥，工地交貨 ,南區,3032 , 元/M3,95.6,9
11504,產品，預拌混凝土材料費，350kgf/cm2，第1型水泥，工地交貨 ,花蓮,2958 , 元/M3,261.6,6
11504,產品，預拌混凝土材料費，350kgf/cm2，第1型水泥，工地交貨 ,台東,2905 , 元/M3,257.6,5
11504,產品，預拌混凝土材料費，420kgf/cm2，第1型水泥，工地交貨 ,北區,3658 , 元/M3,261.1,10
11504,產品，預拌混凝土材料費，420kgf/cm2，第1型水泥，工地交貨 ,中區,3265 , 元/M3,144.2,8
11504,產品，預拌混凝土材料費，420kgf/cm2，第1型水泥，工地交貨 ,南區,3234 , 元/M3,158.7,9
11504,產品，預拌混凝土材料費，420kgf/cm2，第1型水泥，工地交貨 ,花蓮,3150 , 元/M3,295,6
11504,產品，預拌混凝土材料費，420kgf/cm2，第1型水泥，工地交貨 ,台東,3135 , 元/M3,341.3,5
